Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1,Threshold,Best_Params
CLASS_WEIGHT,0.9042784869501123,0.35220994475138123,0.5097451274362819,0.41658158055952627,0.8452850174783325,0.32742092320904564,0.6992882805281665,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}"
SMOTE_10,0.904747545817,0.3527972027972028,0.504247876061969,0.41514091750668586,0.8444885508118598,0.7504024442028325,0.6988453477125249,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}"
SMOTE_07,0.9042114785405568,0.3506267409470752,0.5032483758120939,0.41329776318489636,0.8439948846951228,0.6919272896823508,0.6153482686076055,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}"
SMOTE_05,0.9109793279056522,0.36984126984126986,0.4657671164417791,0.41229816412298165,0.8439603009670916,0.6239506755372584,0.5683178684518937,"{'C': 10, 'penalty': 'l2', 'solver': 'newton-cg'}"
SMOTE_03,0.9108118068817637,0.36858846918489063,0.46326836581709147,0.41054030115146145,0.8424083584150608,0.5169866645482514,0.4350450934809007,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}"
