Feature,Correlation,MI,VIF,Selected,Status
delinquency_total,0.3325488603436754,0.04953988780529528,1.0608218488254464,True,Dipakai
revolving_utilization,0.22112118724489677,0.03685007069749524,2.457560050535197,True,Dipakai
utilization_income_ratio,0.137012307701515,0.033147357059797544,2.939058491033637,True,Dipakai
loan_per_age,0.011744736700818777,0.00812812793114115,13.759177200480295,True,Dipakai
age,0.11558061149347608,0.007246178498002909,3.3330626833568675,True,Dipakai
debt_ratio,0.004824915981227122,0.006841954614692725,2.2528188709229475,True,Dipakai
real_estate_loans,0.00776988266633579,0.006373685788469752,1.3393970064180063,True,Dipakai
income_per_dependent,0.06786174858072995,0.004397297646028475,3.461177480696327,True,Dipakai
monthly_income_log,0.017015541114899828,0.003996421794420835,8.459008411905463,True,Dipakai
debt_per_income,0.013295085379962707,0.0030973754360736905,7.721852194046686,True,Dipakai
num_credit_lines,0.030728280761943564,0.0045982925122698415,13.471126962673692,False,Tidak Dipakai
dependents,0.04646348643019912,0.0015713452972401232,2.4198362789584484,False,Tidak Dipakai
